,Units,scenario,region,sector,subsector,technology,Year,value
117,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2090,0.143635
118,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2095,0.150916
119,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2100,0.159208
120,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2005,0.283675
121,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2010,0.286983
122,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2015,0.286154
123,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2020,0.194077
124,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2025,0.194565
125,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2030,0.194696
126,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2035,0.194843
127,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2040,0.194774
128,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2045,0.19451
129,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2050,0.194111
130,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2055,0.193676
131,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2060,0.193278
132,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2065,0.192934
133,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2070,0.192705
