,Units,scenario,region,Year,value
163,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2040,122.98204477548991
164,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2045,103.51224463703004
165,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2050,87.62985863841011
166,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2055,75.58110748859994
167,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2060,63.56674948646197
168,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2065,49.57322935241206
169,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2070,31.952973778125013
170,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2075,10.780228860681932
171,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2080,-11.914948172406264
172,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2085,-26.895354779468462
173,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2090,-35.5095666182913
174,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2095,-39.28781639620081
175,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2100,-39.82553909556045
176,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,1975,10.958797688754002
177,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,1990,28.812851813283
178,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2005,46.998872857900004
179,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2010,53.50283665739997
180,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2015,56.73736112069
181,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2020,58.50356935118998
182,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2025,58.74203879567158
183,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2030,57.563652095768006
184,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2035,53.73730430155771
185,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2040,48.577310122598604
186,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2045,41.67788188069125
187,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2050,34.083865676590754
188,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2055,27.645810776177903
189,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2060,21.5732093254091
190,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2065,14.650946088880923
191,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2070,8.127108666474674
192,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2075,1.7138135196841233
193,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2080,-4.752666724544593
194,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2085,-11.209085995145912
195,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2090,-17.263394989556062
196,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2095,-23.092987956512044
197,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central America and Caribbean,2100,-27.71668157970026
198,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,1975,65.41186863000001
199,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,1990,155.64804525999998
200,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2005,107.28493355999997
201,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2010,127.81996801000001
202,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2015,140.43361967599998
203,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2020,154.50610199102
