,Units,scenario,region,sector,Year,value
188,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2075,-0.08411235416671407
189,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2080,-0.08149140858483271
190,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2085,-0.0764920857665416
191,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2090,-0.06810580883499961
192,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2095,-0.0557625941651137
193,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2100,-0.0412484371194128
194,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2005,-2.39999931416e-05
195,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2010,-4.99999136635e-05
196,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2015,-6.9999822531e-05
197,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2020,-1.0000024691e-05
198,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2060,-2.9999995572e-05
199,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2070,-2.29999505675e-05
200,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2080,-9.999992645839717e-07
201,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2095,-1.4000000619e-06
202,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered biomass,2100,-2.4999912065e-06
203,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2010,-5.91120299483828e-13
