,Units,scenario,region,Year,value
172,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2085,187.3393819896948
173,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2090,188.817055175877
174,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2095,190.09819530404403
175,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2100,191.34858766398415
176,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,1975,10.958797688754002
177,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,1990,28.812851813283
178,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2005,46.998872857900004
179,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2010,53.50283665739997
180,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2015,56.73736112069
181,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2020,61.08540150612
182,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2025,65.193027660701
183,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2030,68.88448499430405
184,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2035,72.177271984258
185,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2040,74.84367971683201
186,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2045,77.62323368598393
187,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2050,81.25199165792797
188,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2055,86.25752668415109
189,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2060,91.60456705993994
190,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2065,96.43746038733101
191,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2070,102.05473617204099
192,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2075,107.378618684007
193,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2080,111.8153299072255
194,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2085,116.05570317077778
195,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2090,119.95534957530295
196,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2095,123.40901377968088
197,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central America and Caribbean,2100,126.81738310798178
198,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,1975,65.41186863000001
199,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,1990,155.64804525999998
200,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2005,107.28493355999997
201,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2010,127.81996801000001
202,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2015,140.43361967599998
203,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2020,164.2549541303677
204,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2025,178.53612611360103
205,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2030,188.0634719244991
206,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2035,192.7693962570164
207,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2040,195.1182981339491
208,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2045,197.2333123761431
209,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2050,196.94889500097008
210,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2055,197.9642763029572
211,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2060,200.32211148682475
212,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2065,200.22516260551805
213,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2070,201.9961714060684
214,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2075,201.84070417430473
215,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2080,197.03441072479853
216,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2085,194.41887466315276
217,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2090,192.39515089671374
218,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2095,191.44034148884768
219,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Central Asia,2100,190.44087311207886
220,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,1975,193.79699906999997
221,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,1990,696.4272410687404
222,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2005,1819.0502429693001
223,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2010,2617.0139551010016
224,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2015,2989.4930675319997
225,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2020,3537.2782909557004
226,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2025,3836.730772574401
227,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2030,3962.8225363853353
228,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2035,3966.1921252953593
229,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2040,3911.200287330229
230,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2045,3808.5457760405793
231,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2050,3659.903147222638
232,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2055,3502.354609589313
233,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2060,3351.1291988740827
234,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2065,3212.5053072231235
235,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2070,3094.4267829779315
236,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2075,2948.366460800038
237,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2080,2653.604610519856
238,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2085,2415.379228966873
239,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2090,2227.0153378437185
240,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2095,2075.0096850389004
241,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",China,2100,1949.0586325526458
242,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,1975,5.534146939000001
243,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,1990,15.044656569999997
244,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2005,17.603005921999998
245,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2010,21.182717822
246,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2015,25.521755980000002
247,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2020,30.564486452799983
248,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2025,33.487254139999976
249,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2030,36.604021833299996
250,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2035,40.15530751093001
251,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2040,44.14449678818001
252,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2045,48.01788343268003
253,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2050,51.729568533290035
254,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2055,56.45033390310999
255,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2060,61.84631167071591
256,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2065,67.01257442968
257,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2070,72.04725500825398
258,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2075,76.42632698409442
259,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Colombia,2080,79.45526119739628
