,region,scenario,input,Year,value
142,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2035,0.5266667672000002
143,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2040,0.46319922539999986
144,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2045,0.4140081448900001
145,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2050,0.3754176883599999
146,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2055,0.34445746637400015
147,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2060,0.3131729980866002
148,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2065,0.2828876282771
149,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2070,0.25611800365820003
150,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2075,0.23175646857256704
151,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2080,0.20818381641267103
152,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2085,0.18493405280804598
153,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2090,0.16128353163626905
154,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2095,0.13782953397274794
155,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2100,0.11559903450854601
156,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2005,2.0134623699999996
157,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2010,2.51757949
158,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2015,2.58241969
159,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2020,2.8476936129999997
160,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2025,3.1826684170999995
161,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2030,3.4195710077999997
162,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2035,3.5555292223000006
163,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2040,3.4043888894899994
