,Year,region,mode,technology,value
975,2075,China,rail,BEV,0.292959
976,2075,China,rail,Electric,0.28765199999999996
977,2075,China,rail,FCEV,0.383682
980,2075,China,road,BEV,0.7948075499999999
981,2075,China,road,FCEV,0.380168578
985,2075,China,ship,BEV,0.11093569
986,2075,China,ship,FCEV,0.0906554
989,2075,India,aviation,BEV,0.36396494599999996
992,2075,India,rail,BEV,0.0562022
993,2075,India,rail,Electric,0.1284044
994,2075,India,rail,FCEV,0.083226
997,2075,India,road,BEV,1.89117397
998,2075,India,road,FCEV,0.5609481270000001
1002,2075,India,ship,BEV,0.0044344
1003,2075,India,ship,FCEV,0.01181388
1006,2075,South Asia,aviation,BEV,0.013095316000000001
1009,2075,South Asia,rail,BEV,0.00276041
1010,2075,South Asia,rail,Electric,0.0069115826000000005
1011,2075,South Asia,rail,FCEV,0.002635231
1014,2075,South Asia,road,BEV,0.477780913
1015,2075,South Asia,road,FCEV,0.1640403279
1019,2075,South Asia,ship,BEV,0.0025478318000000002
1020,2075,South Asia,ship,FCEV,0.002012123
1023,2080,Africa_Western,aviation,BEV,0.314652468
1026,2080,Africa_Western,rail,BEV,0.00616573
1027,2080,Africa_Western,rail,Electric,0.0028380928000000002
1028,2080,Africa_Western,rail,FCEV,0.00820163
1031,2080,Africa_Western,road,BEV,1.59247635
1032,2080,Africa_Western,road,FCEV,0.606699072
1035,2080,Africa_Western,ship,BEV,0.005236768
1036,2080,Africa_Western,ship,FCEV,0.009715000000000001
1039,2080,Brazil,aviation,BEV,0.047490577
1042,2080,Brazil,rail,BEV,0.0086563
1043,2080,Brazil,rail,Electric,0.0274922
1044,2080,Brazil,rail,FCEV,0.0128315
1047,2080,Brazil,road,BEV,0.61348683
1048,2080,Brazil,road,FCEV,0.20683819
1052,2080,Brazil,ship,BEV,0.003418182
1053,2080,Brazil,ship,FCEV,0.00578067
1056,2080,China,aviation,BEV,0.638384837
1059,2080,China,rail,BEV,0.291959
1060,2080,China,rail,Electric,0.286609
1061,2080,China,rail,FCEV,0.383035
1064,2080,China,road,BEV,0.76678853
1065,2080,China,road,FCEV,0.37007715799999996
1069,2080,China,ship,BEV,0.10382751
1070,2080,China,ship,FCEV,0.0858014
1073,2080,India,aviation,BEV,0.44815826000000003
1076,2080,India,rail,BEV,0.0604873
1077,2080,India,rail,Electric,0.1331269
1078,2080,India,rail,FCEV,0.0896337
1081,2080,India,road,BEV,2.06243392
1082,2080,India,road,FCEV,0.614239933
1086,2080,India,ship,BEV,0.004952767
1087,2080,India,ship,FCEV,0.01304065
1090,2080,South Asia,aviation,BEV,0.017334908
1093,2080,South Asia,rail,BEV,0.00308837
1094,2080,South Asia,rail,Electric,0.0092538969
1095,2080,South Asia,rail,FCEV,0.00294365
1098,2080,South Asia,road,BEV,0.538592266
1099,2080,South Asia,road,FCEV,0.1838511437
1103,2080,South Asia,ship,BEV,0.0028392985000000003
1104,2080,South Asia,ship,FCEV,0.0021447239999999998
1107,2085,Africa_Western,aviation,BEV,0.38991395900000003
1110,2085,Africa_Western,rail,BEV,0.00703538
1111,2085,Africa_Western,rail,Electric,0.0038591924
1112,2085,Africa_Western,rail,FCEV,0.00935798
1115,2085,Africa_Western,road,BEV,1.80460005
1116,2085,Africa_Western,road,FCEV,0.7060899060000001
1119,2085,Africa_Western,ship,BEV,0.005930764
1120,2085,Africa_Western,ship,FCEV,0.01062498
1123,2085,Brazil,aviation,BEV,0.050955617999999994
1126,2085,Brazil,rail,BEV,0.00890213
1127,2085,Brazil,rail,Electric,0.02880607
1128,2085,Brazil,rail,FCEV,0.013196
1131,2085,Brazil,road,BEV,0.6213659100000001
1132,2085,Brazil,road,FCEV,0.20857884999999998
1136,2085,Brazil,ship,BEV,0.003547946
1137,2085,Brazil,ship,FCEV,0.00589966
1140,2085,China,aviation,BEV,0.637751305
1143,2085,China,rail,BEV,0.290188
1144,2085,China,rail,Electric,0.2847406
1145,2085,China,rail,FCEV,0.382352
1148,2085,China,road,BEV,0.7342927199999999
1149,2085,China,road,FCEV,0.35910722500000003
1153,2085,China,ship,BEV,0.09689186000000001
1154,2085,China,ship,FCEV,0.0828152
1157,2085,India,aviation,BEV,0.522319354
1160,2085,India,rail,BEV,0.0644308
1161,2085,India,rail,Electric,0.1370262
1162,2085,India,rail,FCEV,0.0955446
1165,2085,India,road,BEV,2.21318365
1166,2085,India,road,FCEV,0.6659515009999999
1170,2085,India,ship,BEV,0.0053002200000000005
1171,2085,India,ship,FCEV,0.01378509
1174,2085,South Asia,aviation,BEV,0.02186005
1177,2085,South Asia,rail,BEV,0.0034347600000000002
1178,2085,South Asia,rail,Electric,0.012127846599999999
1179,2085,South Asia,rail,FCEV,0.0032749
1182,2085,South Asia,road,BEV,0.599793209
1183,2085,South Asia,road,FCEV,0.20470778639999998
1187,2085,South Asia,ship,BEV,0.0031499249
1188,2085,South Asia,ship,FCEV,0.0022985329999999997
1191,2090,Africa_Western,aviation,BEV,0.46380931599999997
1194,2090,Africa_Western,rail,BEV,0.00794662
1195,2090,Africa_Western,rail,Electric,0.0051310062
1196,2090,Africa_Western,rail,FCEV,0.010572
1199,2090,Africa_Western,road,BEV,2.0092784800000003
1200,2090,Africa_Western,road,FCEV,0.807520477
1203,2090,Africa_Western,ship,BEV,0.006571515
1204,2090,Africa_Western,ship,FCEV,0.011422950000000001
1207,2090,Brazil,aviation,BEV,0.053552051
1210,2090,Brazil,rail,BEV,0.00913248
1211,2090,Brazil,rail,Electric,0.03003945
1212,2090,Brazil,rail,FCEV,0.0135422
1215,2090,Brazil,road,BEV,0.6281686700000001
1216,2090,Brazil,road,FCEV,0.21032349
1220,2090,Brazil,ship,BEV,0.0036868639999999998
1221,2090,Brazil,ship,FCEV,0.006092429999999999
1224,2090,China,aviation,BEV,0.628340381
1227,2090,China,rail,BEV,0.288594
1228,2090,China,rail,Electric,0.2828123
1229,2090,China,rail,FCEV,0.382653
1232,2090,China,road,BEV,0.70016045
1233,2090,China,road,FCEV,0.34850902
1237,2090,China,ship,BEV,0.09137437999999999
1238,2090,China,ship,FCEV,0.08216760000000001
1241,2090,India,aviation,BEV,0.590188181
1244,2090,India,rail,BEV,0.0681875
1245,2090,India,rail,Electric,0.14042159999999998
1246,2090,India,rail,FCEV,0.101117
1249,2090,India,road,BEV,2.33729765
1250,2090,India,road,FCEV,0.710550127
1254,2090,India,ship,BEV,0.005615091
1255,2090,India,ship,FCEV,0.01424349
1258,2090,South Asia,aviation,BEV,0.026553639000000004
1261,2090,South Asia,rail,BEV,0.0037888899999999996
1262,2090,South Asia,rail,Electric,0.015560285999999998
1263,2090,South Asia,rail,FCEV,0.0036238999999999998
1266,2090,South Asia,road,BEV,0.66013265
1267,2090,South Asia,road,FCEV,0.2265031798
1271,2090,South Asia,ship,BEV,0.003463789
1272,2090,South Asia,ship,FCEV,0.0024645279999999997
1275,2095,Africa_Western,aviation,BEV,0.530616325
1278,2095,Africa_Western,rail,BEV,0.00887055
1279,2095,Africa_Western,rail,Electric,0.006669164799999999
1280,2095,Africa_Western,rail,FCEV,0.0117864
1283,2095,Africa_Western,road,BEV,2.2012159
1284,2095,Africa_Western,road,FCEV,0.9069507019999999
1287,2095,Africa_Western,ship,BEV,0.007062153
1288,2095,Africa_Western,ship,FCEV,0.01174876
1291,2095,Brazil,aviation,BEV,0.055718962999999996
1294,2095,Brazil,rail,BEV,0.00935922
1295,2095,Brazil,rail,Electric,0.03120676
1296,2095,Brazil,rail,FCEV,0.013878
1299,2095,Brazil,road,BEV,0.6344115
1300,2095,Brazil,road,FCEV,0.21180237
1304,2095,Brazil,ship,BEV,0.003850638
1305,2095,Brazil,ship,FCEV,0.00624737
1308,2095,China,aviation,BEV,0.618169129
1311,2095,China,rail,BEV,0.287236
1312,2095,China,rail,Electric,0.2810117
1313,2095,China,rail,FCEV,0.381785
1316,2095,China,road,BEV,0.6675492199999999
1317,2095,China,road,FCEV,0.33822889599999995
1321,2095,China,ship,BEV,0.08762223999999999
1322,2095,China,ship,FCEV,0.0801617
1325,2095,India,aviation,BEV,0.653483884
1328,2095,India,rail,BEV,0.0717584
