,Year,region,mode,technology,value
1087,2080,India,ship,FCEV,0.03402261
1090,2080,South Asia,aviation,BEV,0.04228645
1093,2080,South Asia,rail,BEV,0.0018458889999999999
1094,2080,South Asia,rail,Electric,0.009408026699999999
1095,2080,South Asia,rail,FCEV,0.001310559
1098,2080,South Asia,road,BEV,0.586491064
1099,2080,South Asia,road,FCEV,0.10994291018
1103,2080,South Asia,ship,BEV,0.032511641
1104,2080,South Asia,ship,FCEV,0.02572361
1107,2085,Africa_Western,aviation,BEV,0.7602950399999999
1110,2085,Africa_Western,rail,BEV,0.00321413
1111,2085,Africa_Western,rail,Electric,0.0039837677
1112,2085,Africa_Western,rail,FCEV,0.00373112
1115,2085,Africa_Western,road,BEV,1.1771571519999997
1116,2085,Africa_Western,road,FCEV,0.36073659140000003
1119,2085,Africa_Western,ship,BEV,0.043059099999999996
1120,2085,Africa_Western,ship,FCEV,0.07596797
1123,2085,Brazil,aviation,BEV,0.076777494
1126,2085,Brazil,rail,BEV,0.00918125
1127,2085,Brazil,rail,Electric,0.044164300000000004
1128,2085,Brazil,rail,FCEV,0.013757
1131,2085,Brazil,road,BEV,0.74104055
1132,2085,Brazil,road,FCEV,0.26684077
1136,2085,Brazil,ship,BEV,0.020269000000000002
1137,2085,Brazil,ship,FCEV,0.0835062
1140,2085,China,aviation,BEV,1.05123714
1143,2085,China,rail,BEV,0.22173
1144,2085,China,rail,Electric,0.20638030000000002
1145,2085,China,rail,FCEV,0.273552
1148,2085,China,road,BEV,0.70076136
1149,2085,China,road,FCEV,0.33332747900000004
1153,2085,China,ship,BEV,0.5553661
1154,2085,China,ship,FCEV,0.5610729999999999
1157,2085,India,aviation,BEV,0.93251519
1160,2085,India,rail,BEV,0.0382153
1161,2085,India,rail,Electric,0.0816558
1162,2085,India,rail,FCEV,0.0514282
1165,2085,India,road,BEV,3.0681087558000004
1166,2085,India,road,FCEV,0.31453810568000007
1170,2085,India,ship,BEV,0.0395726
1171,2085,India,ship,FCEV,0.045406880000000004
1174,2085,South Asia,aviation,BEV,0.05234522
1177,2085,South Asia,rail,BEV,0.001937661
1178,2085,South Asia,rail,Electric,0.0111698077
1179,2085,South Asia,rail,FCEV,0.0013730489999999999
1182,2085,South Asia,road,BEV,0.6411225032999999
1183,2085,South Asia,road,FCEV,0.11814921605999998
1187,2085,South Asia,ship,BEV,0.038377930000000005
1188,2085,South Asia,ship,FCEV,0.03875265
1191,2090,Africa_Western,aviation,BEV,0.9184724799999999
1194,2090,Africa_Western,rail,BEV,0.00336916
1195,2090,Africa_Western,rail,Electric,0.0048289974999999995
1196,2090,Africa_Western,rail,FCEV,0.00389714
1199,2090,Africa_Western,road,BEV,1.3580810289999998
1200,2090,Africa_Western,road,FCEV,0.40899627699999996
1203,2090,Africa_Western,ship,BEV,0.0539417
1204,2090,Africa_Western,ship,FCEV,0.10970972
1207,2090,Brazil,aviation,BEV,0.07964094
1210,2090,Brazil,rail,BEV,0.00935264
1211,2090,Brazil,rail,Electric,0.042595030000000006
1212,2090,Brazil,rail,FCEV,0.0140978
1215,2090,Brazil,road,BEV,0.83099864
1216,2090,Brazil,road,FCEV,0.31517677
1220,2090,Brazil,ship,BEV,0.022943940000000003
1221,2090,Brazil,ship,FCEV,0.1249367
1224,2090,China,aviation,BEV,1.05643116
1227,2090,China,rail,BEV,0.221864
1228,2090,China,rail,Electric,0.2045093
1229,2090,China,rail,FCEV,0.275754
1232,2090,China,road,BEV,0.71155244
1233,2090,China,road,FCEV,0.343499903
1237,2090,China,ship,BEV,0.5894750999999999
1238,2090,China,ship,FCEV,0.6992120000000001
1241,2090,India,aviation,BEV,1.06342427
1244,2090,India,rail,BEV,0.0386096
1245,2090,India,rail,Electric,0.0795467
1246,2090,India,rail,FCEV,0.0517765
1249,2090,India,road,BEV,3.2376433622
1250,2090,India,road,FCEV,0.3156971791
1254,2090,India,ship,BEV,0.0494241
1255,2090,India,ship,FCEV,0.06308788
1258,2090,South Asia,aviation,BEV,0.062774
1261,2090,South Asia,rail,BEV,0.00203644
1262,2090,South Asia,rail,Electric,0.012945372
1263,2090,South Asia,rail,FCEV,0.001443486
1266,2090,South Asia,road,BEV,0.6889240884
1267,2090,South Asia,road,FCEV,0.12635243338000002
1271,2090,South Asia,ship,BEV,0.04433212
1272,2090,South Asia,ship,FCEV,0.055452310000000005
1275,2095,Africa_Western,aviation,BEV,1.07022752
1278,2095,Africa_Western,rail,BEV,0.00350083
1279,2095,Africa_Western,rail,Electric,0.005716661
1280,2095,Africa_Western,rail,FCEV,0.0040434
1283,2095,Africa_Western,road,BEV,1.5414122190000001
1284,2095,Africa_Western,road,FCEV,0.45971117930000005
1287,2095,Africa_Western,ship,BEV,0.0645443
1288,2095,Africa_Western,ship,FCEV,0.14644441
1291,2095,Brazil,aviation,BEV,0.07974291
1294,2095,Brazil,rail,BEV,0.00936794
1295,2095,Brazil,rail,Electric,0.04070502
1296,2095,Brazil,rail,FCEV,0.0142429
1299,2095,Brazil,road,BEV,0.9318890599999999
1300,2095,Brazil,road,FCEV,0.38787424000000004
1304,2095,Brazil,ship,BEV,0.023680269999999996
1305,2095,Brazil,ship,FCEV,0.18116079999999998
1308,2095,China,aviation,BEV,1.0375149099999998
1311,2095,China,rail,BEV,0.22206
1312,2095,China,rail,Electric,0.20271209999999998
1313,2095,China,rail,FCEV,0.280057
1316,2095,China,road,BEV,0.7229943299999999
1317,2095,China,road,FCEV,0.35877715400000004
1321,2095,China,ship,BEV,0.600229
